Name,File
MLList.takeAsArray.go,Batteries.Data.MLList.Basic
MeasureTheory.Memℒp.induction_stronglyMeasurable,Mathlib.MeasureTheory.Function.ConditionalExpectation.AEMeasurable
Batteries.panicWith,Batteries.Util.Panic
Nat.recAux,Init.Data.Nat.Basic
dbgStackTrace,Init.Util
CFC.sqrt,Mathlib.Analysis.SpecialFunctions.ContinuousFunctionalCalculus.Rpow.Basic
Subarray.foldlM,Init.Data.Array.Subarray
Lean.getDelayedMVarRoot,Lean.MetavarContext
Lean.addDocStringCore',Lean.DocString.Extension
rel_of_act_rel_act,Mathlib.Algebra.Order.Monoid.Unbundled.Defs
IsExtrOn.elim,Mathlib.Order.Filter.Extr
Array.anyM,Init.Data.Array.Basic
FreeGroup.sum,Mathlib.GroupTheory.FreeGroup.Basic
Trunc.recOnSubsingleton,Mathlib.Data.Quot
Aesop.forEachExprInGoal',Aesop.Util.Basic
Lean.Widget.TaggedText.rewriteM,Lean.Widget.TaggedText
Multiset.inf,Mathlib.Data.Multiset.Lattice
Lean.Meta.DiscrTree.Trie.foldValues,Lean.Meta.DiscrTree
Multiset.Pairwise.forall,Mathlib.Data.Multiset.Pairwise
MvPolynomial.weightedTotalDegree,Mathlib.RingTheory.MvPolynomial.WeightedHomogeneous
Set.IccExtend,Mathlib.Order.Interval.Set.ProjIcc
HNNExtension.NormalWord.consRecOn,Mathlib.GroupTheory.HNNExtension
Std.HashMap.Raw.getD,Std.Data.HashMap.Raw
Std.DHashMap.Internal.AssocList.foldr,Std.Data.DHashMap.Internal.AssocList.Basic
CategoryTheory.detector,Mathlib.CategoryTheory.Generator.Basic
AbstractCompletion.extend,Mathlib.Topology.UniformSpace.AbstractCompletion
WeierstrassCurve.Affine.addY,Mathlib.AlgebraicGeometry.EllipticCurve.Affine
Mathlib.Tactic.BicategoryLike.NormalExpr.srcM,Mathlib.Tactic.CategoryTheory.Coherence.Normalize
StructureGroupoid.LocalInvariantProp.congr_nhdsWithin,Mathlib.Geometry.Manifold.LocalInvariantProperties
Lean.Meta.mapMetaM,Lean.Meta.Basic
rel_iSup_sum,Mathlib.Topology.Algebra.InfiniteSum.NatInt
List.partitionM,Init.Data.List.BasicAux
CategoryTheory.SmallObject.functorObj,Mathlib.CategoryTheory.SmallObject.Construction
Fin.take,Mathlib.Data.Fin.Tuple.Take
ForInStep.bindList,Batteries.Control.ForInStep.Basic
IsLocalization.Away.invSelf,Mathlib.RingTheory.Localization.Away.Basic
EReal.rec,Mathlib.Data.EReal.Basic
AddSubmonoid.induction_of_closure_eq_top_right,Mathlib.Algebra.Group.Submonoid.Membership
IsSemiprimaryRing.induction,Mathlib.RingTheory.HopkinsLevitzki
Std.DHashMap.Internal.AssocList.getKey!,Std.Data.DHashMap.Internal.AssocList.Basic
Lean.setEnv,Lean.MonadEnv
Lean.Syntax.replaceM,Lean.Syntax
Lean.mapCoreM,Lean.CoreM
Stream.forIn.visit,Init.Data.Stream
Lean.withoutModifyingState,Lean.Util.MonadBacktrack
Relation.reflTransGen_minimal,Mathlib.Logic.Relation
CliffordAlgebra.evenOdd_induction,Mathlib.LinearAlgebra.CliffordAlgebra.Grading
Multiset.foldl_induction,Mathlib.Data.Multiset.MapFold
Mathlib.Linter.logLint0Disable,Mathlib.Tactic.DeclarationNames
Mathlib.Meta.NormNum.isNat.natElim,Mathlib.Tactic.NormNum.Result
Subgroup.closure_induction_left,Mathlib.Algebra.Group.Subgroup.Pointwise
Mathlib.Tactic.Abel.termg,Mathlib.Tactic.Abel
EuclideanDomain.gcd,Mathlib.Algebra.EuclideanDomain.Defs
Std.TreeMap.Raw.foldr,Std.Data.TreeMap.Raw.Basic
IntermediateField.induction_on_adjoin_fg,Mathlib.FieldTheory.IntermediateField.Adjoin.Defs
Lean.Elab.Tactic.iterateUntilFailureCount,Mathlib.Tactic.Core
Lean.resolveNamespace,Lean.ResolveName
Std.TreeSet.Raw.max!,Std.Data.TreeSet.Raw.Basic
